Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Website,Founded Date,Founded Date Precision,Industry Groups,Number of Employees,Stock Symbol,Stock Symbol URL,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Aberdeen - Software Spend,Aberdeen - Software Spend Currency,Aberdeen - Software Spend Currency (in USD),Aberdeen - Communications Spend,Aberdeen - Communications Spend Currency,Aberdeen - Communications Spend Currency (in USD),Number of Acquisitions,Acquisition Status,IPqwery - IP Activity Score,G2 Stack - Total Products Active,G2 Stack - Total Product Changes,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,BuiltWith - Tech Changes (%),BuiltWith - Active Tech Count,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Estimated Revenue Range,Operating Status,Last Layoff Mention Date,Aberdeen - Services Spend,Aberdeen - Services Spend Currency,Aberdeen - Services Spend Currency (in USD),Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Hodlnaut,https://www.crunchbase.com/organization/hodlnaut,"Banking, Bitcoin, Crowdfunding, Cryptocurrency, Ethereum, Financial Services, FinTech","Singapore, Central Region, Singapore",Hodlnaut is a platform that provides financial services for individual investors.,https://www.hodlnaut.com,2019-04-01,month,"Financial Services, Lending and Investments, Other, Payments, Software",11-50,,,-0.6,0,-1.6,,,,,,,,,,,,,,,,,0%,52,"12,080","62,325.33",-33.8%,"1,639,333","399,189",32.19%,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,Active,2022-08-19,,,,1,Seed,2019-04-10,100000,USD,100000,Pre-Seed,100000,USD,100000
Latch,https://www.crunchbase.com/organization/latch,"Apps, Smart Home, Software","New York, New York, United States","Latch is a full-building operating system of software, products, and services designed to make every building better.",https://latchaccess.com,2014-01-01,year,"Apps, Consumer Electronics, Real Estate, Software",251-500,LTCH,https://www.crunchbase.com/ipo/latch-ipo--66f0772a,4,2.9,-0.5,4590860,USD,4590860,1458112,USD,1458112,357807,USD,357807,,,0.9,,,28,,0%,99,,,,,,,"Greater New York Area, East Coast, Northeastern US",$10M to $50M,Active,2022-05-23,1247839,USD,1247839,7,IPO,2021-06-07,190000000,USD,190000000,Post-IPO Equity,342120000,USD,342120000
Ninjacart,https://www.crunchbase.com/organization/ninjacart,"AgTech, B2B, Marketing, Sales, Supply Chain Management","Bengaluru, Karnataka, India","Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",http://ninjacart.com/,2015-07-01,month,"Agriculture and Farming, Other, Sales and Marketing, Transportation",1001-5000,,,-0.1,-0.4,-1,,,,,,,,,,1,Made Acquisitions,,9,12.5%,2,"14,874",0%,36,,,,,,,Asia-Pacific (APAC),$500M to $1B,Active,2021-02-23,,,,16,Late Stage Venture,2022-05-18,698000000,INR,8969363,Series D,367124581,USD,367124581
Nate,https://www.crunchbase.com/organization/nate,"Consumer Software, E-Commerce, Shopping","New York, New York, United States",nate is a shopping app that enables users to buy a product from any online retailer with the click of a button.,https://www.nate.tech,2018-01-01,year,"Commerce and Shopping, Software",51-100,,,4.1,2.5,4.2,,,,,,,,,,,,1.3,18,-5.26%,,,0%,39,"9,399","40,781.17",122.25%,"1,904,553","-1,074,948",-36.08%,"Greater New York Area, East Coast, Northeastern US",,Active,,,,,3,Early Stage Venture,2021-06-17,38000000,USD,38000000,Series A,47300000,USD,47300000
Betterfly,https://www.crunchbase.com/organization/go-betterfly,"FinTech, Fitness, Health Care, InsurTech, Wellness","Santiago, Region Metropolitana, Chile",Betterfly is a purpose-driven collective wellbeing platform that converts healthy activities into charitable donations.,https://betterfly.cl,2018-01-01,year,"Financial Services, Health Care, Sports",101-250,,,-0.3,3,4.5,,,,,,,,,,2,Made Acquisitions,2.1,,,,,0%,27,"14,233","45,538.83",-23.63%,"1,499,441","275,252",22.48%,Latin America,,Active,,,,,6,Late Stage Venture,2022-02-01,125000000,USD,125000000,Series C,204500000,USD,204500000
Superhuman,https://www.crunchbase.com/organization/superhuman,"Email, Product Design, Productivity Tools, SaaS, Software","San Francisco, California, United States",Superhuman is a software platform that weaves social insights into a workflow.,https://superhuman.com/,2014-01-01,year,"Design, Information Technology, Internet Services, Messaging and Telecommunications, Software",101-250,,,0,0.1,-0.2,,,,,,,,,,,,0,56,-1.75%,,,0%,74,"262,201","686,522.5",-15.15%,"191,883","27,746",16.9%,"San Francisco Bay Area, West Coast, Western US",Less than $1M,Active,2022-06-03,,,,6,Late Stage Venture,2021-08-04,75000000,USD,75000000,Series C,108000000,USD,108000000
Next Insurance,https://www.crunchbase.com/organization/next-insurance,"Commercial Insurance, Finance, Insurance, InsurTech, Small and Medium Businesses","Palo Alto, California, United States",Next Insurance is an online-based insurance company for entrepreneurs and small businesses.,https://www.nextinsurance.com,2016-01-01,year,"Financial Services, Other",251-500,,,-0.3,-0.8,-0.1,,,,,,,,,,2,Made Acquisitions,1.9,31,0%,,,0%,29,"611,817","868,592.67",-31.07%,"102,216","26,003",34.12%,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,Active,2022-07-07,,,,6,Late Stage Venture,2021-04-01,250000000,USD,250000000,Series E,881000000,USD,881000000
Vesalius Therapeutics,https://www.crunchbase.com/organization/vesalius-therapeutics,"Health Care, Medical","Cambridge, Massachusetts, United States",Vesalius Therapeutics is focused on redefining the understanding and treatment of the diseases that drive ninety percent of human illness.,https://vesaliustx.com/,2019-01-01,year,Health Care,11-50,,,-0.3,0.1,-1,,,,,,,,,,,,1.3,,,,,0%,34,,,,,,,"Greater Boston Area, East Coast, New England",,Active,2022-09-19,,,,1,Early Stage Venture,2022-03-02,75000000,USD,75000000,Series A,75000000,USD,75000000
Introhive,https://www.crunchbase.com/organization/introhive,"Business Intelligence, CRM, Data Center Automation, SaaS, Software","Fredericton, New Brunswick, Canada",Introhive offers a SaaS platform that helps organizations increase revenues and improve customer experience management.,http://www.introhive.com,2012-01-01,year,"Data and Analytics, Hardware, Information Technology, Sales and Marketing, Software",101-250,,,-0.3,5.2,4.9,133098,USD,133098,22120,USD,22120,4673,USD,4673,,,1.7,27,0%,1,,0%,84,"8,153","7,360",32.08%,"2,050,319","-339,657",-14.21%,,,Active,2022-07-22,34994,USD,34994,8,Late Stage Venture,2021-06-16,121300000,CAD,98774479,Series C,125553719,USD,125553719
SumUp,https://www.crunchbase.com/organization/sumup,"Credit Cards, Financial Services, FinTech, Mobile Payments, Point of Sale","London, England, United Kingdom",SumUp is a financial technology company that enables businesses to accept card payments at the Point-of-Sale or on the go.,https://sumup.co.uk,2011-01-01,year,"Commerce and Shopping, Financial Services, Lending and Investments, Mobile, Payments, Software",1001-5000,,,0,-0.3,1.2,3465773,USD,3465773,5334,USD,5334,1958,USD,1958,6,Made Acquisitions,1.7,30,0%,7,"315,890",0%,108,"97,209","253,612.17",-17.96%,"397,479","67,638",20.51%,,$10M to $50M,Active,,15077,USD,15077,12,,2022-06-23,590000000,EUR,620686753,Venture - Series Unknown,2001264912,USD,2001264912
Lusha,https://www.crunchbase.com/organization/lusha,"B2B, Big Data, Database, Information Technology, Recruiting, Sales Automation, Software","New York, New York, United States","Lusha is a crowdsourced data platform for B2B sales and marketing that connects sales, business development, and HR professionals.",https://www.lusha.com,2016-03-01,day,"Data and Analytics, Information Technology, Other, Professional Services, Sales and Marketing, Software",101-250,,,-0.2,-0.3,2.5,,,,,,,,,,,,0.7,22,0%,,,0%,108,"640,697","845,356.17",-20.55%,"98,632","18,893",23.69%,"Greater New York Area, East Coast, Northeastern US",,Active,,,,,2,Early Stage Venture,2021-11-10,205000000,USD,205000000,Series B,245000000,USD,245000000
Wheel,https://www.crunchbase.com/organization/enzyme-health,"Health Care, Human Resources, Information Technology, Medical, Recruiting","Austin, Texas, United States",Wheel is a healthcare technology company that brings together the tech infrastructure and clinicians to power virtual care and telehealth.,https://www.wheel.com,2018-01-01,month,"Administrative Services, Health Care, Information Technology, Professional Services",101-250,,,-0.4,-0.1,0.2,,,,,,,,,,,,1.6,16,0%,,,0%,45,"53,115","69,939.5",34.05%,"611,857","-103,566",-14.48%,Southern US,,Active,2022-08-30,,,,5,Late Stage Venture,2022-01-19,150000000,USD,150000000,Series C,215600000,USD,215600000
Olive,https://www.crunchbase.com/organization/olive-16b3,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, Market Research, Procurement","Vancouver, British Columbia, Canada",AI technology / business consulting,https://www.olive.app,2018-04-20,day,"Artificial Intelligence, Data and Analytics, Design, Information Technology, Science and Engineering, Software, Transportation",11-50,,,-0.1,0.4,-0.1,,,,,,,,,,,,1.1,,,,,0%,55,"8,309","7,841.17",7.83%,"2,030,649","-55,295",-2.65%,,,Active,,,,,3,Seed,2022-04-18,3000000,USD,3000000,Seed,4120000,USD,4120000
Personetics,https://www.crunchbase.com/organization/personetics-technologies,"Analytics, Finance, Financial Services, FinTech, Information Technology","New York, New York, United States",Personetics is a provider of data-driven personalization and customer engagement tools for banks and financial services companies.,http://www.personetics.com,2010-01-01,year,"Data and Analytics, Financial Services, Information Technology",251-500,,,-0.3,5,1.2,,,,,,,,,,,,,31,0%,,,0%,75,"31,791","232,267.17",-2.49%,"874,028","54,430",6.64%,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2023-01-09,,,,6,Private Equity,2022-01-19,85000000,USD,85000000,Private Equity,178000000,USD,178000000
Sales Boomerang,https://www.crunchbase.com/organization/sales-boomerang,"Artificial Intelligence, Business Intelligence, CRM, Industrial Automation, SaaS, Software","Owings Mills, Maryland, United States",Sales Boomerang is the only automated Borrower Intelligence and Retention SaaS Platform,https://www.salesboomerang.com/,2017-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Manufacturing, Sales and Marketing, Science and Engineering, Software",51-100,,,1.4,0,-1.2,,,,,,,,,,,,0.7,22,-8.33%,,,0%,71,"23,137","41,168.5",-44.83%,"1,108,870","420,780",61.15%,"Greater Baltimore-Maryland Area, East Coast, Southern US",$1M to $10M,Active,2022-10-31,,,,2,Private Equity,2022-01-25,,,,Private Equity,5000000,USD,5000000
Pear Therapeutics,https://www.crunchbase.com/organization/pear-therapeutics,"Biotechnology, mHealth, Pharmaceutical, Software, Therapeutics","Boston, Massachusetts, United States",Pear Therapeutics is a software-based digital therapeutics platform designed to treat disease and enhance the efficacy of pharmaceuticals.,http://peartherapeutics.com/,2013-01-01,year,"Biotechnology, Health Care, Mobile, Science and Engineering, Software",101-250,PEAR,https://www.crunchbase.com/ipo/pear-therapeutics-ipo--6bd3c6ea,-0.2,2.4,1,182315,USD,182315,30300,USD,30300,6401,USD,6401,,,2.1,37,0%,12,,0%,59,"7,129","17,968",-35.11%,"2,205,614","510,521",30.12%,"Greater Boston Area, East Coast, New England",$10M to $50M,Active,2022-11-16,47934,USD,47934,8,IPO,2021-12-03,125000000,USD,125000000,Post-IPO Equity,409000000,USD,409000000
HealthifyMe,https://www.crunchbase.com/organization/healthifyme,"Apps, Fitness, Health Care, mHealth","Bangalore, Karnataka, India",HealthifyMe is a health and fitness application that allows its users to track food and workouts.,https://www.healthifyme.com,2012-01-01,year,"Apps, Health Care, Mobile, Software, Sports",101-250,,,-1.1,-1.6,-0.3,,,,,,,,,,,,,54,0%,2,"39,233",0%,15,"4,398,499","2,758,159.17",175.95%,"20,718","-25,987",-55.64%,Asia-Pacific (APAC),$1M to $10M,Active,2022-12-03,,,,8,Late Stage Venture,2021-07-20,5600000000,INR,75140312,Series C,100140312,USD,100140312
Immutable Holdings Inc.,https://www.crunchbase.com/organization/immutable-holdings,"Blockchain, Cryptocurrency","San Juan, NA - Puerto Rico, Puerto Rico",Immutable Holdings is a collection of digital asset-oriented businesses operating within the emerging space of Web3.,http://immutableholdings.com,2020-12-22,day,"Financial Services, Other, Payments, Software",1-10,B8X0,https://www.crunchbase.com/ipo/immutable-holdings-ipo--e5c51cf8,-0.3,-0.4,-0.7,,,,,,,,,,1,Made Acquisitions,,10,25%,,,0%,57,393,"1,811.17",-88.51%,"8,232,247","4,825,967",141.68%,Latin America,,Active,,,,,2,IPO,2021-12-31,15040000,USD,15040000,Post-IPO Equity,15040000,USD,15040000
Snappy,https://www.crunchbase.com/organization/snappy-app,"Enterprise Software, Gift, Gift Card","New York, New York, United States",Snappy is an all-in-one enterprise gifting platform that allows companies to send gifts to their customers and team members.,https://www.snappy.com,2015-08-01,day,"Commerce and Shopping, Financial Services, Software",101-250,,,-0.3,3.7,5.1,,,,,,,,,,,,,22,-4.35%,4,,0%,60,"222,718","155,561",31.96%,"216,234","-39,427",-15.42%,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2023-01-16,,,,5,Late Stage Venture,2021-05-26,70000000,USD,70000000,Series C,104825000,USD,104825000
LiveTiles,https://www.crunchbase.com/organization/livetiles,"Coworking, Information Technology, SaaS, Software","New York, New York, United States","LiveTiles empowers organizations through compelling, easy-to-use workplace products.",https://livetilesglobal.com,1994-01-01,year,"Information Technology, Real Estate, Software",51-100,LVT,https://www.crunchbase.com/ipo/livetiles-ipo--1de5b4c9,-0.3,-1.2,-1.3,,,,,,,,,,3,Made Acquisitions,0,22,0%,2,,0%,64,"12,213","16,138.5",-14.64%,"1,629,201","180,953",12.49%,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,,,,,4,IPO,2018-05-04,7000000,USD,7000000,Grant,46630175,USD,46630175
Kavak,https://www.crunchbase.com/organization/kavak,"Automotive, E-Commerce, E-Commerce Platforms, Online Portals","Mexico City, Distrito Federal, Mexico",KAVAK is an online platform that offers insight into buying and selling used cars.,http://www.kavak.com/,2016-01-01,year,"Commerce and Shopping, Internet Services, Transportation",1001-5000,,,-0.3,-0.7,-3,,,,,,,,,,3,Made Acquisitions,,19,0%,2,"183,114",0%,9,"2,860,315","3,507,236.33",22.96%,"29,778","-4,348",-12.74%,Latin America,$100M to $500M,Active,2022-11-25,,,,7,Late Stage Venture,2022-09-15,810000000,USD,810000000,Debt Financing,2393250000,USD,2393250000
Hedvig,https://www.crunchbase.com/organization/hedvig,"Cloud Infrastructure, Computer, Data Storage, Enterprise Software, Software","Santa Clara, California, United States",Hedvig delivers modern storage for any enterprise compute environment running at any scale.,https://www.commvault.com/software-defined-storage,2012-01-01,year,"Consumer Electronics, Hardware, Internet Services, Software",51-100,,,-0.3,-0.1,-0.4,,,,,,,,,,,Was Acquired,0.4,84,0%,,,0%,14,"312,534","507,436",-22.94%,"168,615","34,439",25.67%,"San Francisco Bay Area, Silicon Valley, West Coast",Less than $1M,Active,,,,,4,M&A,2017-03-02,21500000,USD,21500000,Series C,52000000,USD,52000000
TrueLayer,https://www.crunchbase.com/organization/truelayer,"Banking, Developer Tools, Financial Services, FinTech","London, England, United Kingdom","TrueLayer is a fintech platform utilized to build financial apps that connect to bank data, verify accounts, and access transactions.",https://truelayer.com/,2016-01-01,year,"Financial Services, Lending and Investments, Software",251-500,,,-0.5,-2.2,-1.8,32276994,USD,32276994,5052,USD,5052,1854,USD,1854,,,1.4,35,0%,,,0%,53,"4,440,053","3,367,203",24.9%,"20,557","-3,485",-14.5%,,$10M to $50M,Active,2022-09-16,14280,USD,14280,7,Late Stage Venture,2021-09-21,94950000,GBP,129684591,Series E,271484591,USD,271484591
Tally,https://www.crunchbase.com/organization/tally-technologies,"Credit Cards, Financial Services, FinTech, Mobile Apps","San Francisco, California, United States",Tally is a financial automation company that helps members in paying off their credit card debt.,https://www.meettally.com,2015-01-01,year,"Apps, Financial Services, Lending and Investments, Mobile, Payments, Software",101-250,,,-0.1,-0.8,-2.9,,,,,,,,,,,,0.8,29,0%,4,"6,166",0%,13,"271,125","502,972.83",100.51%,"187,306","-112,707",-37.57%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,,,,,5,Late Stage Venture,2022-10-03,80000000,USD,80000000,Series D,172000000,USD,172000000
QuintoAndar,https://www.crunchbase.com/organization/quintoandar,"Internet, Property Management, Real Estate, Rental, Software","São Paulo, Sao Paulo, Brazil",QuintoAndar is a platform that simplifies the rental of residential real estate for landlords and renters.,http://quintoandar.com.br,2012-01-01,year,"Commerce and Shopping, Internet Services, Real Estate, Software",1001-5000,,,-0.2,3.3,4.5,,,,,,,,,,5,Made Acquisitions,1.7,32,3.23%,6,"213,097",0%,5,"6,584,015","6,986,410.67",21.45%,"14,595","-2,198",-13.09%,Latin America,,Active,,,,,8,Late Stage Venture,2021-08-19,120000000,USD,120000000,Series E,755270292,USD,755270292
Cvent,https://www.crunchbase.com/organization/cvent,"Business Intelligence, Event Management, Events, Hospitality, Information Technology, Meeting Software, Procurement, Software","Mclean, Virginia, United States","Cvent delivers the most comprehensive event marketing & management platform, maximizing the impact of in-person, virtual, and hybrid events.",http://www.cvent.com,1999-01-30,day,"Data and Analytics, Events, Information Technology, Media and Entertainment, Messaging and Telecommunications, Software, Transportation, Travel and Tourism",1001-5000,CVT,https://www.crunchbase.com/ipo/cvent-ipo--97330a17,-0.1,3.6,-0.6,132208696,USD,132208696,28185304,USD,28185304,5515588,USD,5515588,13,"Made Acquisitions, Was Acquired",2.1,,,10,"52,175",,,,,,,,,"Washington DC Metro Area, East Coast, Southern US",$100M to $500M,Active,2020-05-22,31153853,USD,31153853,6,M&A,2021-12-08,475000000,USD,475000000,Post-IPO Equity,621911999,USD,621911999
Lev,https://www.crunchbase.com/organization/lev,"Commercial Real Estate, FinTech, Marketplace, Real Estate, Real Estate Investment","New York, New York, United States",Lev is a commercial mortgage marketplace for capital market advisors.,https://www.levcapital.com/,2019-01-01,year,"Commerce and Shopping, Financial Services, Real Estate",101-250,,,-0.3,1,-0.1,,,,,,,,,,,,,20,-9.09%,,,0%,24,"6,867","17,956.67",-54.62%,"2,252,078","856,367",61.36%,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,,,,,8,Early Stage Venture,2022-05-05,100000000,USD,100000000,Debt Financing,214782994,USD,214782994
AlayaCare,https://www.crunchbase.com/organization/alayacare,"Health Care, Home Health Care, Hospital, SaaS, Software","Montréal, Quebec, Canada",AlayaCare delivers an end-to-end home health care software platform and hardware ecosystem for patients.,http://www.alayacare.com,2014-08-01,month,"Health Care, Software",251-500,,,-0.2,1.9,3.8,248896,USD,248896,60028,USD,60028,12681,USD,12681,4,Made Acquisitions,0.4,44,-6.38%,3,"6,096",0%,23,"74,027","177,888.17",32.03%,"483,610","-80,196",-14.22%,,$1M to $10M,Active,2022-08-16,94964,USD,94964,11,Late Stage Venture,2021-06-23,225000000,CAD,182848338,Series D,293405685,USD,293405685
Bringg,https://www.crunchbase.com/organization/bringg,"Delivery, Enterprise Software, SaaS, Software","Tel Aviv, Tel Aviv, Israel",Bringg is the leading last mile delivery management platform provider.,https://www.bringg.com,2013-01-01,year,"Administrative Services, Software",101-250,,,-0.3,3,3.6,,,,,,,,,,1,Made Acquisitions,1.5,31,0%,24,"1,919",0%,84,"3,264,132","1,998,744",-2.01%,"26,749","1,425",5.63%,,$10M to $50M,Active,2020-04-21,,,,8,Late Stage Venture,2021-06-16,100000000,USD,100000000,Series E,184500000,USD,184500000
BeyondMinds,https://www.crunchbase.com/organization/beyondminds,"Artificial Intelligence, Enterprise Software, Machine Learning, Software","Tel Aviv, Tel Aviv, Israel",BeyondMinds has built an AI oporation platform to solve the stability and sustainbility challanges of AI in production,https://www.beyondminds.ai/,2018-08-01,month,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",51-100,,,-0.2,-0.6,-0.4,,,,,,,,,,,,1.1,,,,,0%,12,557,,,"7,601,816",,,,,Active,2022-05-23,,,,2,Early Stage Venture,2020-09-19,15000000,USD,15000000,Series A,16000000,USD,16000000
Rhino,https://www.crunchbase.com/organization/rhino,"Consumer, Insurance, Real Estate","New York, New York, United States",Rhino is a licensed insurance agency that gives renters financial alternatives to security deposits.,https://www.sayrhino.com,2017-01-01,year,"Financial Services, Other, Real Estate",101-250,,,0.2,-1.3,3.9,,,,,,,,,,1,Made Acquisitions,0,11,0%,,,0%,92,"202,143","390,188.17",5.5%,"232,221",-900,-0.39%,"Greater New York Area, East Coast, Northeastern US",$10M to $50M,Active,2022-02-04,,,,8,,2022-01-24,8066663,USD,8066663,Venture - Series Unknown,140756951,USD,140756951
FourKites,https://www.crunchbase.com/organization/fourkites,"Enterprise Software, Logistics, Machine Learning, Software, Supply Chain Management","Chicago, Illinois, United States","FourKites is a supply chain visibility platform designed for transportation into yards, warehouses, and stores.",https://www.fourkites.com/,2014-01-01,year,"Artificial Intelligence, Data and Analytics, Software, Transportation",501-1000,,,-0.3,-0.5,-1.6,,,,,,,,,,3,Made Acquisitions,1.6,37,0%,11,"38,729",0%,115,"266,041","916,262.5",43.76%,"190,165","-49,511",-20.66%,"Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,2022-08-26,,,,8,,2022-09-27,10000000,USD,10000000,Corporate Round,241500000,USD,241500000
Aqua Security,https://www.crunchbase.com/organization/aquasecurity,"Cloud Security, Cyber Security, Security, Software, Virtualization","Burlington, Massachusetts, United States",Aqua Security is a software company providing cloud-native security technology.,https://www.aquasec.com,2015-01-01,year,"Hardware, Information Technology, Privacy and Security, Software",251-500,,,-0.7,-1.6,-0.3,66302,USD,66302,11019,USD,11019,2328,USD,2328,3,Made Acquisitions,2.3,36,-5.26%,,,0%,128,"115,179","157,293.5",-26.81%,"351,556","82,652",30.74%,"Greater Boston Area, East Coast, New England",$1M to $10M,Active,2022-12-05,17432,USD,17432,7,,2021-11-15,,,,Venture - Series Unknown,265000000,USD,265000000
Productboard,https://www.crunchbase.com/organization/productboard,"Consumer Research, Product Management, Product Research, Software","San Francisco, California, United States",Productboard is a product management system that helps organizations get the right products to market faster.,http://www.productboard.com,2014-04-04,day,"Data and Analytics, Design, Other, Software",251-500,,,0.3,0.4,-0.3,,,,,,,,,,1,Made Acquisitions,1.5,49,-5.77%,,,0%,35,"540,502","700,753.83",-5.28%,"112,550","8,506",8.18%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,,,,,8,Late Stage Venture,2022-02-02,125000000,USD,125000000,Series D,261700000,USD,261700000
Expert360,https://www.crunchbase.com/organization/expert360,"Consulting, Enterprise Software, Marketing, Marketplace","Sydney, New South Wales, Australia","Expert360 Marketplace empower thousands of organisations to build, scale and manage flexible, on-demand workforces. ",http://expert360.com,2012-01-01,year,"Commerce and Shopping, Professional Services, Sales and Marketing, Software",51-100,,,0.6,0.9,-0.1,,,,,,,,,,,,0,54,0%,,,0%,45,"6,068","14,173",-67.11%,"2,453,961","1,222,130",99.21%,"Asia-Pacific (APAC), Australasia",,Active,,,,,4,Late Stage Venture,2020-02-18,12000000,USD,12000000,Series C,26099959,USD,26099959
REEF,https://www.crunchbase.com/organization/reef-technology,"Apps, E-Commerce Platforms, Food Delivery, Last Mile Transportation, Parking","Miami, Florida, United States",REEF Technology is a company that transforms urban real estate such as parking facilities into thriving mobility and logistical hubs.,https://reeftechnology.com/,2013-01-01,year,"Apps, Commerce and Shopping, Food and Beverage, Internet Services, Software, Transportation",10001+,,,0,0.2,1,47655043,USD,47655043,15135810,USD,15135810,3714187,USD,3714187,7,Made Acquisitions,0.7,39,0%,2,807,0%,82,"68,689","146,944.33",-87.21%,"511,814","402,898",369.92%,"Greater Miami Area, East Coast, Southern US",$100M to $500M,Active,2022-05-06,12953093,USD,12953093,3,Private Equity,2020-11-03,700000000,USD,700000000,Private Equity,1501900000,USD,1501900000
Labelbox,https://www.crunchbase.com/organization/labelbox,"Artificial Intelligence, Computer Vision, Enterprise Software, Machine Learning, Software","San Francisco, California, United States",Labelbox is a collaborative data training platform that creates and manages labeled data for machine learning applications.,https://labelbox.com,2017-01-01,year,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software",101-250,,,0,0,2.8,288509,USD,288509,91634,USD,91634,22486,USD,22486,,,1.2,30,-3.23%,,,0%,9,"133,582","119,852",51.27%,"315,706","-91,495",-22.47%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,,78419,USD,78419,6,Late Stage Venture,2022-01-06,110000000,USD,110000000,Series D,188900000,USD,188900000
Tonal,https://www.crunchbase.com/organization/tonal,"Artificial Intelligence, Consumer Electronics, Fitness, Machine Learning, Personal Health, Sports","San Francisco, California, United States",Tonal is a smart home gym that uses artificial intelligence and coaching to provide strength training.,http://www.tonal.com,2015-01-01,year,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Health Care, Science and Engineering, Software, Sports",251-500,,,-0.1,-0.1,0,,,,,,,,,,,,2.6,57,5.56%,,,0%,90,"1,726,470","1,250,975.33",-11.35%,"45,272","5,813",14.73%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2022-07-13,,,,6,Late Stage Venture,2021-03-31,250000000,USD,250000000,Series E,450000000,USD,450000000
Clutch,https://www.crunchbase.com/organization/clutch,"Analytics, Coupons, E-Commerce, Gift Card, Loyalty Programs, Marketing Automation, Mobile, Mobile Payments, Retail Technology","Ambler, Pennsylvania, United States",Clutch serves as a customer marketing platform for business-to-consumer brands.,http://www.clutch.com,2012-07-01,day,"Commerce and Shopping, Data and Analytics, Financial Services, Hardware, Mobile, Payments, Sales and Marketing, Software",51-100,,,0.1,3.4,5.5,516020,USD,516020,85760,USD,85760,18116,USD,18116,3,Made Acquisitions,1,26,0%,,,0%,39,"81,804","622,135.33",143.83%,"450,156","-353,785",-44.01%,"Greater Philadelphia Area, Great Lakes, Northeastern US",$1M to $10M,Active,,135670,USD,135670,4,,2017-01-12,5250000,USD,5250000,Venture - Series Unknown,24826589,USD,24826589
Quanto,https://www.crunchbase.com/organization/quanto,"Banking, Financial Services","São Paulo, Sao Paulo, Brazil",Quanto is a transactional API platform for all financial service providers.,https://www.quan.to,2017-01-01,month,"Financial Services, Lending and Investments",51-100,,,0.9,0,-0.1,,,,,,,,,,,,,,,,,0%,10,"17,202",,52.59%,"1,359,241","-311,256",-18.63%,Latin America,,Active,,,,,2,Early Stage Venture,2020-09-17,15000000,USD,15000000,Series A,20000000,USD,20000000
Amperity,https://www.crunchbase.com/organization/amperity,"Analytics, Artificial Intelligence, Big Data, Marketing, SaaS","Seattle, Washington, United States",Amperity is an Intelligent Customer Data Platform that empowers global consumer brands by unlocking all their customer data.,https://amperity.com,2016-01-01,year,"Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software",251-500,,,-0.1,-1,3.5,,,,,,,,,,1,Made Acquisitions,2,92,2.22%,,,0%,48,"16,410","12,493",40.6%,"1,393,345","-247,236",-15.07%,"Greater Seattle Area, West Coast, Western US",$1M to $10M,Active,2022-08-20,,,,5,Late Stage Venture,2021-07-13,100000000,USD,100000000,Series D,187000000,USD,187000000
Salesloft,https://www.crunchbase.com/organization/salesloft,"CRM, Email, SaaS, Sales, Sales Automation","Atlanta, Georgia, United States",Salesloft helps thousands of the world’s most successful selling teams drive more revenue with The Modern Revenue Workspace™.,http://salesloft.com,2011-01-01,year,"Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software",501-1000,,,-0.4,-1.1,1.8,2361638,USD,2361638,392491,USD,392491,82911,USD,82911,3,"Made Acquisitions, Was Acquired",1.5,114,-5%,,,0%,88,"592,912","671,626.67",-26.87%,"104,692","25,114",31.56%,"Greater Atlanta Area, East Coast, Southern US",$50M to $100M,Active,,620914,USD,620914,8,M&A,2021-01-06,100000000,USD,100000000,Series E,245700000,USD,245700000
